Topic,Label,Count,Percentage,Keywords
-1,Outliers,212611,49.78865504991488,"neurotic, im, people, like, just, amp, dont, know, youre, think"
0,Melodramatic Personality Types,66476,15.567165542225666,"neurotic, shes, im, bone, doubt, melodramatic, like, fools, just, love"
1,Pet Behavior Study,17129,4.011221772862138,"dog, cat, dogs, cats, shes, hes, little, rescue, neurotic, love"
2,Trump's Chaotic Presidency,10923,2.5579178834125242,"trump, realdonaldtrump, president, mika, nancy, donald, cnn, dnc, calls, trumps"
3,Musical Outsiders Exploration,10298,2.4115571146555137,"outsiders, music, youtube, song, video, album, band, listen, playlist, new"
4,Writer's Creative Struggles,7666,1.7952026452659902,"book, writing, writer, writers, books, read, write, reader, hitwoman, reading"
5,Emotional Acronym Explanation,6127,1.434803888278727,"fine, emotional, insecure, fucked, freaked, stands, fuckedup, im, acronym, means"
6,Food Habits Analysis,6072,1.4219241406281102,"food, eat, eating, baker, eaters, diet, grocery, weight, im, fat"
7,Gender Discourse Denial,5160,1.2083545068578803,"women, men, gay, woman, trans, gender, feminism, feminists, feminist, male"
8,Open Source Game Development,3948,0.9245317040842851,"gcppodcast, kubernetes, googlecloud, francesc, gamedev, agonesdev, nyghtowl, game, talk, docker"
9,Creative Art Geniuses,3454,0.8088481524587438,"creative, art, geniuses, creativity, artist, myth, artists, painting, drawing, deeply"
10,Breakthrough Music Award,3437,0.8048671395485532,"pilih, sebagai, saya, breakthrough, net2ica, btneurotic, netmediatama, artist, year, neurotic"
11,Anxious Parenting Impact,3341,0.7823861254674763,"kids, parents, children, child, parent, mom, parenting, mother, kid, mum"
12,COVID Fear Impact,3061,0.7168165010643355,"covid, virus, vaccine, pandemic, vaccinated, covid19, flu, people, coronavirus, vaccines"
13,Jewish Mother Stereotype,2913,0.6821582710226753,"jewish, jew, jews, israel, antisemitic, antisemitism, neurotic, stereotype, woody, mother"
14,Political Brexit Chaos,2735,0.6404747240806787,"brexit, eu, uk, labour, british, britain, tory, amp, party, boris"
15,Obsessive Cleanliness,2583,0.6048797851189738,"clean, cleaning, washing, hands, wash, house, toilet, hand, im, shower"
16,Virgo Behavior Analysis,2465,0.5772468719776501,"virgo, moon, virgos, gemini, sun, rising, pisces, aquarius, leo, capricorn"
17,Divine Faith Painful Truths,2365,0.5538291489765284,"god, religion, religious, church, jesus, catholic, faith, christian, christians, sin"
18,Racial Identity Analysis,2167,0.5074620574343074,"white, black, racist, racism, race, enslaved, people, whites, women, blacks"
